Datetime,City,Latitude,Longitude,Temperature,Humidity %,Cloud Coverage %,Wind Speed
12/09/2017,Port Hardy,50.7,-127.42,46.4,73,40,3.36
12/09/2017,Labuhan,-6.88,112.21,84.04,100,68,6.06
12/09/2017,Port Macquarie,-31.43,152.92,71.6,60,0,11.41
12/09/2017,Surt,31.21,16.59,49.89,100,20,4.54
12/09/2017,Sovetskiy,61.36,63.58,19.47,85,88,4.99
12/09/2017,Kadiri,14.12,78.17,85.48,45,0,4.5
12/09/2017,Langsa,4.47,97.97,80.31,85,48,2.59
12/09/2017,Pevek,69.7,170.31,9.66,84,44,10.92
12/09/2017,Presidencia Roque Saenz Pena,-26.79,-60.44,77.61,54,0,5.1
12/09/2017,Pandan,14.05,124.17,82.2,100,48,3.2
12/09/2017,Souillac,-20.52,57.52,82.4,65,40,12.75
12/09/2017,Torbay,47.67,-52.73,32.0,100,75,10.29
12/09/2017,Severobaykalsk,55.65,109.32,-5.47,62,0,3.76
12/09/2017,Barra Patuca,15.8,-84.28,79.32,96,92,3.83
12/09/2017,Guryevsk,54.28,85.93,20.23,72,0,3.38
12/09/2017,General Pico,-35.66,-63.76,64.96,39,0,6.4
12/09/2017,El Rosario,24.26,-107.18,74.01,100,0,5.84
12/09/2017,Coihaique,-45.58,-72.07,47.91,71,90,4.7
12/09/2017,Camacha,33.08,-16.33,63.61,67,20,9.17
12/09/2017,Komsomolskiy,40.43,71.72,44.6,48,48,4.7
12/09/2017,Hirara,24.8,125.28,66.2,63,75,11.41
12/09/2017,Santiago,-33.46,-70.65,55.4,71,0,5.82
12/09/2017,Toora-Khem,52.47,96.11,7.86,65,8,2.08
12/09/2017,Narsaq,60.92,-46.05,42.8,38,92,42.5
12/09/2017,Fagersta,60.0,15.79,34.83,97,0,8.05
12/09/2017,Nipawin,53.37,-104.0,14.0,92,1,5.82
12/09/2017,Gizo,-8.1,156.84,85.26,100,24,6.85
12/09/2017,Half Moon Bay,37.46,-122.43,45.97,58,1,4.09
12/09/2017,Arlit,18.74,7.39,53.58,53,56,2.98
12/09/2017,Castelldefels,41.28,1.97,39.72,75,75,10.29
12/09/2017,Atar,20.52,-13.05,55.38,40,8,15.05
12/09/2017,Aripuana,-9.17,-60.63,77.29,94,24,1.7
12/09/2017,Santa Cruz de la Palma,28.68,-17.76,64.4,68,40,9.17
12/09/2017,Santiago del Estero,-27.8,-64.26,72.66,86,0,3.6
12/09/2017,Mana,5.66,-53.78,75.81,94,76,2.86
12/09/2017,Katsuura,35.13,140.3,50.0,43,20,5.82
12/09/2017,Taltal,-25.4,-70.48,49.8,83,0,1.03
12/09/2017,Broken Hill,-31.95,141.43,77.56,38,0,11.92
12/09/2017,Chapais,49.78,-74.85,1.4,77,40,8.05
12/09/2017,Porto Santo,33.07,-16.34,63.61,67,20,9.17
12/09/2017,Guangyuan,32.44,105.82,43.05,71,76,2.82
12/09/2017,Zambezi,-13.54,23.1,66.45,98,92,9.24
12/09/2017,Aykhal,66.0,111.5,-29.72,47,32,4.83
12/09/2017,Buchanan,5.88,-10.05,78.91,100,0,5.55
