,timestamp,source,tweets ago,tweet text,compound score,positive score,negative score,neutral score
104,Sat Jan 20 19:51:01 +0000 2018,@CBSnews,4,"Turkish jets bomb Kurdish-controlled city of Afrin in northern Syria, as President Recep Tayyip Erdogan promises to… https://t.co/FZcTR4bcC7",-0.1531,0.119,0.147,0.734
105,Sat Jan 20 19:40:13 +0000 2018,@CBSnews,5,"""In 2013 we were being asked to vote for something that we did not like,” Mick Mulvaney says. “We have a funding bi… https://t.co/hvOOvgrmBb",0.0,0.0,0.0,1.0
106,Sat Jan 20 19:33:33 +0000 2018,@CBSnews,6,"""We are taking Davos, both from the president's perspective and the cabinet's perspective, on a day-by-day basis,""… https://t.co/TgHt01afdf",0.0,0.0,0.0,1.0
107,Sat Jan 20 19:31:14 +0000 2018,@CBSnews,7,"""Mr. Schumer is going to have to up his game a little bit and be more honest with the president of the United State… https://t.co/9bvu695hoM",0.7501,0.225,0.0,0.775
108,Sat Jan 20 19:26:49 +0000 2018,@CBSnews,8,"""Early this morning, federal workers got notices from their various agencies as to whether they were exempt or furl… https://t.co/FLQadxn7X9",0.1027,0.069,0.0,0.931
109,Sat Jan 20 19:24:26 +0000 2018,@CBSnews,9,"""We continue to remain anxious to reach a deal on DACA, and we look forward to resuming those negotiations as soon… https://t.co/bM4MtdIMMX",-0.2263,0.05,0.09,0.86
110,Sat Jan 20 19:21:11 +0000 2018,@CBSnews,10,WATCH LIVE: White House officials hold a press briefing to give an update on the government shutdown… https://t.co/h8stKSKayV,0.0,0.0,0.0,1.0
111,Sat Jan 20 19:01:01 +0000 2018,@CBSnews,11,"In his first year in office, President Trump proved to be a singular figure, casting aside norms and traditions:… https://t.co/EolX6C5dZ5",0.0,0.0,0.0,1.0
112,Sat Jan 20 18:41:01 +0000 2018,@CBSnews,12,"UPDATE: A group of gunmen have launched an attack on the Intercontinental Hotel in Kabul, authorities say; kitchen… https://t.co/kGCgYEFOpc",-0.3818,0.073,0.15,0.777
113,Sat Jan 20 18:21:55 +0000 2018,@CBSnews,13,"Paul Bocuse, the master chef who defined French cuisine for nearly half a century and put it on tables around the w… https://t.co/3HhPSWGU4b",0.0,0.0,0.0,1.0
